,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
114,Zhemgang Town Area,58,35.0,84.78,,46.81%,FIAB,Commercial 
115,Tingtibi ,42,20.0,54.5,,29.76%,FIAB,Commercial 
116, Panbang,42,20.0,52.0,,23.81%,FIAB,Commercial 
