,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
143,Trashi Yangtse Town,122,58.0,228.57,,87.66%,FIAB,Commericial 
144,Near Ring Road and Higher S.School Area,70,25.0,100.009,,42.87%,PAVA,Commericial 
145,Tshenkharala M.S.School Area,70,15.0,40.0,,-42.86%,FIAB,Commericial 
146,Doksum,70,50.0,140.0,78.0,100.00%,FIAB,Commericial 
147,Kholongchu,150,50.0,165.54,,10%,FIAB,Commericial 
