,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
139,Lhuentse Town Area,116,46.0,119.43,,3.40%,FIAB,Commericial 
140,Gorgan,120,40.0,132.43,,10.36%,PAVA,Commericial 
141,Tangmachu/Takila,115,50.0,126.91,,10.36%,PAVA,Commericial 
142,Autsho,58,23.0,56.33,,-2.46%,FIAB,Commericial 
