,LOCATION,PRECINCT,SPECIFIC_AREA,BOB_2017_RATE,BOB_2021_RATE,%DIFFERENCE,DERIVE FROM
83,"Commercial Shops, Basic Ammenities and Residential Medium Precinct",D-1,,525,"1,482.13",182.31%,PAVA (new)
84,Residential Low Precinct,D-2,,,994.98,89.52%,PAVA (new)
85,Institutional Precinct,I,,,"1,191.59",126.97%,PAVA (new)
86,Natural Resource,G-2,,,399.21,-23.96%,PAVA (new)
87,Environmental Precinct,E-2,,,399.21,-23.96%,PAVA (new)
