,LOCATION,BOB_2017_COM,BOB_2017_RES,BOB_2021_COM,BOB_2021_RES,% DIFFERENCE,Derived from,Remarks
157,Gasa Town,53,23.0,62.57,22.09,19.18%,FIAB,Commericial 
158,Mani,15,,16.55,,10.36%,PAVA,Commericial 
159,Choling,15,,16.55,,10.36%,PAVA,Commericial 
160,Damji,26,16.0,50.33,17.09,91.73%,FIAB,Commericial 
161,Laya & Lungho,15,,16.55,,10.36%,PAVA,Commericial 
162,Tashithang,15,,16.55,,10.36%,PAVA,Commericial 
